WARNING 2024-12-12 19:40:51,465 security_middleware Подозрительный запрос: /api/products/ с параметром name=<script>alert(1)</script>
WARNING 2024-12-12 20:00:30,728 security_middleware Подозрительный запрос: /api/products/ с параметром name=<script>alert(1)</script>
WARNING 2024-12-12 20:28:52,709 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:57,215 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:57,384 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:57,551 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:57,722 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:57,888 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:58,061 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:58,229 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:58,402 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:58,572 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:30:58,740 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:31:58,724 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:31:58,894 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:31:59,067 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:31:59,246 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:31:59,414 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-12 20:31:59,580 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-13 14:08:45,911 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-13 14:08:56,023 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-13 14:11:31,247 views Неудачная попытка входа для пользователя: admin
WARNING 2024-12-13 14:11:46,422 views Неудачная попытка входа для пользователя: testuser
WARNING 2024-12-13 14:16:57,067 security_middleware Potential XSS detected: b'{\n  "name": "<script>alert(1)</script>",\n  "description": "This is a test for XSS vulnerability.",\n  "price": "10.99",\n  "stock_quantity": 10,\n  "category": 1\n}'
